time,location,map,cir,color
04060000,15,-0.6405,0.2148,#40eb68
04060100,15,-0.6438,0.2091,#3feb68
04060200,15,-0.6405,0.2103,#3feb67
04060300,15,-0.6397,0.2163,#40eb68
04060400,15,-0.6403,0.2052,#3feb67
04060500,15,-0.6386,0.2087,#3feb67
04060600,15,-0.6382,0.1974,#3fec67
04060700,15,-0.6412,0.2084,#3feb67
04060800,15,-0.6392,0.1988,#3fec67
04060900,15,-0.6421,0.2006,#3fec67
04061000,15,-0.6442,0.2202,#40eb68
04061100,15,-0.6423,0.2104,#3feb68
04061200,15,-0.6396,0.2002,#3fec67
04061300,15,-0.6386,0.2031,#3feb67
04061400,15,-0.6376,0.2019,#3feb67
04061500,15,-0.6374,0.2165,#40eb67
04061600,15,-0.6374,0.2150,#40eb67
04061700,15,-0.6412,0.2135,#3feb68
04061800,15,-0.6380,0.2069,#3feb67
04061900,15,-0.6403,0.2040,#3feb67
04062000,15,-0.6399,0.2095,#3feb67
04062100,15,-0.6436,0.2160,#40eb68
04062200,15,-0.6386,0.2082,#3feb67
04062300,15,-0.6409,0.2063,#3feb67
04070000,15,-0.6409,0.1997,#3fec67
04070100,15,-0.6379,0.2188,#40eb68
04070200,15,-0.6386,0.2193,#40eb68
04070300,15,-0.6366,0.2096,#3feb67
04070400,15,-0.6371,0.2066,#3feb67
04070500,15,-0.6406,0.1886,#3eec67
04070600,15,-0.6387,0.2089,#3feb67
04070700,15,-0.6369,0.2014,#3feb67
04070800,15,-0.6395,0.2374,#40ea68
04070900,15,-0.6425,0.2040,#3feb67
04071000,15,-0.6377,0.1958,#3fec67
04071100,15,-0.6412,0.2014,#3feb67
04071200,15,-0.6408,0.2070,#3feb67
04071300,15,-0.6405,0.2010,#3fec67
04071400,15,-0.6373,0.2147,#40eb67
04071500,15,-0.6401,0.2298,#40ea68
04071600,15,-0.6372,0.2092,#3feb67
04071700,15,-0.6376,0.2136,#40eb67
04071800,15,-0.6380,0.2095,#3feb67
04071900,15,-0.6403,0.2054,#3feb67
04072000,15,-0.6424,0.2058,#3feb67
04072100,15,-0.6410,0.1903,#3fec67
04072200,15,-0.6374,0.1895,#3fec67
04072300,15,-0.6403,0.2067,#3feb67
04080000,15,-0.6409,0.2118,#3feb68
04080100,15,-0.6379,0.2224,#40eb68
04080200,15,-0.6349,0.2194,#40eb67
04080300,15,-0.6360,0.2043,#3feb67
04080400,15,-0.6386,0.2124,#3feb67
04080500,15,-0.6454,0.2109,#3feb68
04080600,15,-0.6387,0.2214,#40eb68
04080700,15,-0.5918,0.2326,#41ea65
04080800,15,0.5169,0.2428,#6feb4b
04080900,15,3.3613,0.3100,#ebbd68
04081000,15,3.4589,0.2141,#efb965
04081100,15,3.4697,0.2012,#efb965
04081200,15,3.4727,0.1968,#efb965
04081300,15,3.4666,0.2124,#efb965
04081400,15,3.3888,0.2642,#edbc66
04081500,15,1.3331,0.2610,#a7eb54
04081600,15,1.2604,0.1926,#a2ee50
04081700,15,1.2548,0.2003,#a2ed51
04081800,15,1.2563,0.2115,#a2ed51
04081900,15,1.2566,0.2191,#a2ed51
04082000,15,1.2550,0.2146,#a2ed51
04082100,15,1.2579,0.2023,#a2ed51
04082200,15,1.2583,0.2000,#a2ed51
04082300,15,1.2566,0.1910,#a2ee50
04090000,15,1.2570,0.2058,#a2ed51
04090100,15,1.2599,0.2091,#a2ed51
04090200,15,1.2539,0.2103,#a1ed51
04090300,15,1.2563,0.2091,#a2ed51
04090400,15,1.2226,0.2130,#9fed51
04090500,15,0.3448,0.2185,#62ec49
04090600,15,0.3136,0.1943,#5fed48
04090700,15,0.3102,0.2106,#60ec48
04090800,15,0.3059,0.2002,#5fec48
04090900,15,0.3088,0.2143,#60ec48
04091000,15,0.3112,0.2039,#5fec48
04091100,15,0.3076,0.2140,#5fec48
04091200,15,0.3093,0.1871,#5fed47
04091300,15,0.3092,0.2141,#60ec48
04091400,15,0.3115,0.2055,#60ec48
04091500,15,0.3037,0.2136,#5fec48
04091600,15,0.3128,0.2145,#60ec48
