time,location,map,cir,color
04060000,14,-0.6251,0.3037,#43e769
04060100,14,-0.6293,0.2691,#42e968
04060200,14,-0.6269,0.2806,#42e868
04060300,14,-0.6260,0.3029,#43e769
04060400,14,-0.6208,0.2912,#43e868
04060500,14,-0.6269,0.2795,#42e868
04060600,14,-0.6264,0.2785,#42e868
04060700,14,-0.6295,0.2675,#42e968
04060800,14,-0.6269,0.3047,#43e769
04060900,14,-0.6231,0.2947,#43e868
04061000,14,-0.6245,0.2871,#43e868
04061100,14,-0.6194,0.2721,#42e968
04061200,14,-0.6250,0.2884,#43e868
04061300,14,-0.6191,0.2699,#42e968
04061400,14,-0.6282,0.2703,#42e968
04061500,14,-0.6253,0.2685,#42e968
04061600,14,-0.6232,0.2816,#43e868
04061700,14,-0.6283,0.2667,#42e968
04061800,14,-0.6298,0.2793,#42e868
04061900,14,-0.6261,0.2810,#42e868
04062000,14,-0.6256,0.2694,#42e968
04062100,14,-0.6267,0.2905,#43e868
04062200,14,-0.6308,0.2743,#42e868
04062300,14,-0.6222,0.2940,#43e868
04070000,14,-0.6218,0.2792,#42e868
04070100,14,-0.6257,0.2801,#42e868
04070200,14,-0.6234,0.2938,#43e868
04070300,14,-0.6286,0.2881,#43e869
04070400,14,-0.6244,0.2798,#42e868
04070500,14,-0.6252,0.2519,#41e968
04070600,14,-0.6227,0.2879,#43e868
04070700,14,-0.6244,0.2942,#43e868
04070800,14,-0.6264,0.3011,#43e769
04070900,14,-0.6286,0.2767,#42e868
04071000,14,-0.6245,0.2953,#43e868
04071100,14,-0.6230,0.2843,#43e868
04071200,14,-0.6224,0.2770,#42e868
04071300,14,-0.6250,0.2720,#42e968
04071400,14,-0.6244,0.2875,#43e868
04071500,14,-0.6239,0.2739,#42e868
04071600,14,-0.6243,0.2810,#42e868
04071700,14,-0.6232,0.2900,#43e868
04071800,14,-0.6283,0.2619,#42e968
04071900,14,-0.6242,0.2584,#42e968
04072000,14,-0.6249,0.2674,#42e968
04072100,14,-0.6299,0.2912,#43e869
04072200,14,-0.6280,0.2893,#43e869
04072300,14,-0.6282,0.2670,#42e968
04080000,14,-0.6278,0.2821,#42e868
04080100,14,-0.6248,0.3056,#44e769
04080200,14,-0.6306,0.2921,#43e869
04080300,14,-0.6320,0.2605,#42e968
04080400,14,-0.6267,0.2818,#42e868
04080500,14,-0.6293,0.2860,#43e869
04080600,14,-0.6192,0.2792,#42e868
04080700,14,-0.5507,0.3278,#45e665
04080800,14,0.3855,0.3134,#68e84d
04080900,14,0.4441,0.2751,#6bea4c
04081000,14,0.4770,0.2768,#6dea4c
04081100,14,0.6588,0.5148,#7ee057
04081200,14,3.3184,0.5423,#e4bd6f
04081300,14,3.4810,0.3524,#eab76a
04081400,14,3.3663,0.4502,#e7bc6d
04081500,14,1.4429,0.4198,#ade55b
04081600,14,1.3161,0.2753,#a5ea54
04081700,14,1.2986,0.2787,#a4ea54
04081800,14,1.2986,0.3015,#a4e955
04081900,14,1.2894,0.2675,#a4eb53
04082000,14,1.2921,0.2814,#a4ea54
04082100,14,1.2885,0.2751,#a4ea54
04082200,14,1.2879,0.2894,#a4ea54
04082300,14,1.2889,0.2663,#a4eb53
04090000,14,1.2955,0.2750,#a4ea54
04090100,14,1.2963,0.2799,#a4ea54
04090200,14,1.2946,0.2932,#a4ea54
04090300,14,1.2860,0.2897,#a3ea54
04090400,14,1.2297,0.2926,#a0ea54
04090500,14,0.4025,0.3106,#69e84d
04090600,14,0.3475,0.2800,#64e94b
04090700,14,0.3357,0.2806,#63e94b
04090800,14,0.3372,0.2711,#63ea4b
04090900,14,0.3327,0.2871,#63e94b
04091000,14,0.3310,0.2820,#63e94b
04091100,14,0.3292,0.2776,#63e94b
04091200,14,0.3323,0.2562,#62ea4a
04091300,14,0.3348,0.2920,#64e94c
04091400,14,0.3309,0.2727,#63ea4b
04091500,14,0.3361,0.2960,#64e94c
04091600,14,0.3359,0.2879,#64e94c
