time,location,map,cir,color
04060000,4,-0.5619,0.3468,#46e566
04060100,4,-0.5615,0.3508,#46e566
04060200,4,-0.5620,0.3160,#45e765
04060300,4,-0.5675,0.3474,#46e566
04060400,4,-0.5688,0.3255,#45e666
04060500,4,-0.5714,0.3730,#47e467
04060600,4,-0.5663,0.3496,#46e566
04060700,4,-0.5679,0.3436,#46e666
04060800,4,-0.5586,0.3420,#46e666
04060900,4,-0.5577,0.3506,#46e566
04061000,4,-0.5588,0.3420,#46e666
04061100,4,-0.5653,0.3133,#44e765
04061200,4,-0.5646,0.3343,#45e666
04061300,4,-0.5671,0.3511,#46e567
04061400,4,-0.5693,0.3106,#44e766
04061500,4,-0.5649,0.3460,#46e566
04061600,4,-0.5731,0.3137,#44e766
04061700,4,-0.5593,0.3428,#46e666
04061800,4,-0.5656,0.3383,#45e666
04061900,4,-0.5649,0.3335,#45e666
04062000,4,-0.5685,0.3279,#45e666
04062100,4,-0.5697,0.3291,#45e666
04062200,4,-0.5646,0.3188,#45e766
04062300,4,-0.5721,0.3600,#46e567
04070000,4,-0.5650,0.3261,#45e666
04070100,4,-0.5620,0.3424,#46e666
04070200,4,-0.5648,0.3507,#46e566
04070300,4,-0.5684,0.3532,#46e567
04070400,4,-0.5692,0.3366,#45e666
04070500,4,-0.5701,0.3159,#44e766
04070600,4,-0.5686,0.3293,#45e666
04070700,4,-0.5634,0.3277,#45e666
04070800,4,-0.5673,0.3437,#46e666
04070900,4,-0.5617,0.3197,#45e765
04071000,4,-0.5704,0.3164,#44e766
04071100,4,-0.5668,0.3429,#46e666
04071200,4,-0.5635,0.3401,#46e666
04071300,4,-0.5623,0.3065,#44e765
04071400,4,-0.5651,0.3092,#44e765
04071500,4,-0.5711,0.3181,#45e766
04071600,4,-0.5630,0.3535,#46e566
04071700,4,-0.5639,0.3332,#45e666
04071800,4,-0.5659,0.3218,#45e766
04071900,4,-0.5606,0.3191,#45e765
04072000,4,-0.5658,0.3270,#45e666
04072100,4,-0.5591,0.3464,#46e566
04072200,4,-0.5644,0.3336,#45e666
04072300,4,-0.5610,0.3056,#44e765
04080000,4,-0.5641,0.3450,#46e666
04080100,4,-0.5641,0.3265,#45e666
04080200,4,-0.5635,0.3332,#45e666
04080300,4,-0.5650,0.3227,#45e666
04080400,4,-0.5686,0.3436,#46e666
04080500,4,-0.5628,0.3446,#46e666
04080600,4,-0.5375,0.3585,#47e565
04080700,4,-0.2982,0.6276,#54da61
04080800,4,3.5819,0.6214,#e1b174
04080900,4,3.8227,0.3322,#eba86d
04081000,4,3.8441,0.3448,#eba76d
04081100,4,3.8482,0.3240,#eca76d
04081200,4,3.8490,0.3073,#eca66c
04081300,4,3.8224,0.3520,#eba86d
04081400,4,3.6995,0.4555,#e7ad70
04081500,4,1.6185,0.4467,#b7e45d
04081600,4,1.4874,0.3316,#b0e958
04081700,4,1.4676,0.3270,#afe957
04081800,4,1.4670,0.3460,#afe858
04081900,4,1.4709,0.3138,#afe957
04082000,4,1.4685,0.3338,#afe858
04082100,4,1.4720,0.3561,#afe858
04082200,4,1.4602,0.3473,#aee858
04082300,4,1.4663,0.3415,#afe858
04090000,4,1.4693,0.3297,#afe957
04090100,4,1.4741,0.3427,#afe858
04090200,4,1.4676,0.3485,#afe858
04090300,4,1.4605,0.3484,#aee858
04090400,4,1.4061,0.3332,#abe857
04090500,4,0.5183,0.3590,#72e650
04090600,4,0.4611,0.3401,#6ee74f
04090700,4,0.4501,0.3164,#6ce84e
04090800,4,0.4529,0.3143,#6ce84e
04090900,4,0.4533,0.3314,#6de74e
04091000,4,0.4463,0.3516,#6de74f
04091100,4,0.4559,0.3480,#6de74f
04091200,4,0.4452,0.3106,#6ce84d
04091300,4,0.4488,0.3420,#6de74f
04091400,4,0.4511,0.3145,#6ce84e
04091500,4,0.4594,0.3402,#6de74f
04091600,4,0.4531,0.3352,#6de74e
