time,location,map,cir,color
04060000,18,-0.6352,0.2024,#3feb67
04060100,18,-0.6264,0.2060,#3feb67
04060200,18,-0.6253,0.1939,#3fec66
04060300,18,-0.6301,0.2127,#40eb67
04060400,18,-0.6298,0.1919,#3fec66
04060500,18,-0.6300,0.2057,#3feb67
04060600,18,-0.6283,0.2102,#3feb67
04060700,18,-0.6302,0.1956,#3fec67
04060800,18,-0.6310,0.1986,#3fec67
04060900,18,-0.6294,0.2079,#3feb67
04061000,18,-0.6307,0.2194,#40eb67
04061100,18,-0.6298,0.1924,#3fec66
04061200,18,-0.6313,0.2092,#3feb67
04061300,18,-0.6295,0.2050,#3feb67
04061400,18,-0.6278,0.1878,#3fec66
04061500,18,-0.6304,0.2005,#3fec67
04061600,18,-0.6302,0.1879,#3fec66
04061700,18,-0.6314,0.2037,#3feb67
04061800,18,-0.6294,0.2039,#3feb67
04061900,18,-0.6309,0.1963,#3fec67
04062000,18,-0.6319,0.1977,#3fec67
04062100,18,-0.6303,0.1987,#3fec67
04062200,18,-0.6283,0.2013,#3fec67
04062300,18,-0.6283,0.1931,#3fec66
04070000,18,-0.6318,0.1966,#3fec67
04070100,18,-0.6273,0.1929,#3fec66
04070200,18,-0.6312,0.2039,#3feb67
04070300,18,-0.6289,0.2120,#40eb67
04070400,18,-0.6298,0.2093,#3feb67
04070500,18,-0.6308,0.1904,#3fec66
04070600,18,-0.6308,0.2064,#3feb67
04070700,18,-0.6311,0.2002,#3fec67
04070800,18,-0.6298,0.1971,#3fec67
04070900,18,-0.6273,0.1953,#3fec66
04071000,18,-0.6287,0.1933,#3fec66
04071100,18,-0.6339,0.1963,#3fec67
04071200,18,-0.6283,0.2057,#3feb67
04071300,18,-0.6303,0.1888,#3fec66
04071400,18,-0.6277,0.1953,#3fec66
04071500,18,-0.6317,0.2169,#40eb67
04071600,18,-0.6315,0.1935,#3fec67
04071700,18,-0.6321,0.2057,#3feb67
04071800,18,-0.6275,0.1790,#3eec66
04071900,18,-0.6318,0.1963,#3fec67
04072000,18,-0.6310,0.2041,#3feb67
04072100,18,-0.6296,0.2022,#3feb67
04072200,18,-0.6271,0.2105,#3feb67
04072300,18,-0.6267,0.1895,#3fec66
04080000,18,-0.6271,0.2015,#3fec66
04080100,18,-0.6310,0.2011,#3fec67
04080200,18,-0.6268,0.1975,#3fec66
04080300,18,-0.6309,0.1985,#3fec67
04080400,18,-0.6274,0.2083,#3feb67
04080500,18,-0.6311,0.1894,#3fec66
04080600,18,-0.6257,0.2091,#3feb67
04080700,18,-0.5901,0.2241,#40eb65
04080800,18,0.4216,0.2199,#68ec4a
04080900,18,0.5533,0.3352,#74e74f
04081000,18,3.4115,0.3583,#eaba6a
04081100,18,3.5118,0.1860,#f0b765
04081200,18,3.5155,0.1929,#f0b765
04081300,18,3.5108,0.2115,#efb766
04081400,18,3.4398,0.2966,#ecba68
04081500,18,1.3634,0.2955,#a8ea55
04081600,18,1.2912,0.2015,#a4ed51
04081700,18,1.2862,0.1992,#a4ed51
04081800,18,1.2862,0.2038,#a4ed51
04081900,18,1.2850,0.1966,#a4ed51
04082000,18,1.2849,0.2053,#a4ed51
04082100,18,1.2841,0.2073,#a3ed51
04082200,18,1.2807,0.2053,#a3ed51
04082300,18,1.2862,0.1967,#a4ed51
04090000,18,1.2886,0.1931,#a4ee51
04090100,18,1.2880,0.2081,#a4ed51
04090200,18,1.2889,0.1997,#a4ed51
04090300,18,1.2836,0.1976,#a3ed51
04090400,18,1.2558,0.2017,#a2ed51
04090500,18,0.3618,0.2040,#63ec48
04090600,18,0.3288,0.2063,#61ec48
04090700,18,0.3280,0.2030,#61ec48
04090800,18,0.3314,0.1988,#61ec48
04090900,18,0.3295,0.1941,#61ed48
04091000,18,0.3290,0.2100,#61ec48
04091100,18,0.3298,0.2186,#61ec49
04091200,18,0.3304,0.1752,#60ed47
04091300,18,0.3284,0.2053,#61ec48
04091400,18,0.3281,0.2031,#61ec48
04091500,18,0.3291,0.1983,#61ed48
04091600,18,0.3296,0.1977,#61ed48
