time,location,map,cir,color
04060000,13,-0.6205,0.3900,#47e46a
04060100,13,-0.6130,0.3687,#46e46a
04060200,13,-0.6249,0.3526,#45e56a
04060300,13,-0.6167,0.3487,#45e569
04060400,13,-0.6185,0.3445,#45e569
04060500,13,-0.6246,0.3678,#46e56a
04060600,13,-0.6260,0.3248,#44e669
04060700,13,-0.6257,0.3483,#45e56a
04060800,13,-0.6215,0.3581,#46e56a
04060900,13,-0.6269,0.3624,#46e56a
04061000,13,-0.6269,0.3350,#45e66a
04061100,13,-0.6324,0.3417,#45e66a
04061200,13,-0.6279,0.3627,#46e56a
04061300,13,-0.6257,0.3307,#45e669
04061400,13,-0.6264,0.3410,#45e66a
04061500,13,-0.6265,0.3613,#46e56a
04061600,13,-0.6308,0.3530,#45e56a
04061700,13,-0.6249,0.3313,#45e669
04061800,13,-0.6316,0.3530,#45e56a
04061900,13,-0.6275,0.3245,#44e669
04062000,13,-0.6304,0.3561,#46e56a
04062100,13,-0.6234,0.3587,#46e56a
04062200,13,-0.6197,0.3439,#45e669
04062300,13,-0.6199,0.3659,#46e56a
04070000,13,-0.6202,0.3424,#45e669
04070100,13,-0.6224,0.3504,#45e56a
04070200,13,-0.6256,0.3537,#46e56a
04070300,13,-0.6240,0.3230,#44e669
04070400,13,-0.6242,0.3528,#45e56a
04070500,13,-0.6201,0.3696,#46e46a
04070600,13,-0.6156,0.3638,#46e56a
04070700,13,-0.6193,0.3391,#45e669
04070800,13,-0.6225,0.3865,#47e46a
04070900,13,-0.6264,0.3590,#46e56a
04071000,13,-0.6232,0.3344,#45e669
04071100,13,-0.6204,0.3524,#46e56a
04071200,13,-0.6279,0.3637,#46e56a
04071300,13,-0.6200,0.3523,#46e56a
04071400,13,-0.6142,0.3492,#45e569
04071500,13,-0.6193,0.3492,#45e569
04071600,13,-0.6172,0.3741,#46e46a
04071700,13,-0.6281,0.3448,#45e56a
04071800,13,-0.6176,0.3312,#45e669
04071900,13,-0.6193,0.3377,#45e669
04072000,13,-0.6169,0.3488,#45e569
04072100,13,-0.6175,0.3444,#45e569
04072200,13,-0.6236,0.3629,#46e56a
04072300,13,-0.6169,0.3517,#46e569
04080000,13,-0.6269,0.3620,#46e56a
04080100,13,-0.6239,0.3489,#45e56a
04080200,13,-0.6203,0.3485,#45e569
04080300,13,-0.6240,0.3164,#44e769
04080400,13,-0.6151,0.3610,#46e569
04080500,13,-0.6125,0.3776,#47e46a
04080600,13,-0.5889,0.3785,#47e468
04080700,13,-0.4856,0.4323,#4ae264
04080800,13,0.3306,0.4109,#67e450
04080900,13,0.4368,0.3306,#6ce74e
04081000,13,0.4762,0.3546,#6fe64f
04081100,13,0.5369,0.4095,#74e452
04081200,13,0.8140,0.6632,#89db5f
04081300,13,3.0927,0.9066,#d7c07a
04081400,13,3.1666,0.8331,#d9bf78
04081500,13,1.5435,0.5166,#b2e25f
04081600,13,1.3501,0.3874,#a7e659
04081700,13,1.3045,0.3534,#a4e757
04081800,13,1.2970,0.3508,#a4e857
04081900,13,1.2908,0.3432,#a4e856
04082000,13,1.2889,0.3354,#a4e856
04082100,13,1.2838,0.3524,#a3e857
04082200,13,1.2873,0.3442,#a3e856
04082300,13,1.2930,0.3570,#a4e757
04090000,13,1.2919,0.3460,#a4e856
04090100,13,1.2882,0.3531,#a3e757
04090200,13,1.2828,0.3651,#a3e757
04090300,13,1.2671,0.3513,#a2e856
04090400,13,1.1785,0.3782,#9de657
04090500,13,0.4600,0.4204,#6fe452
04090600,13,0.3643,0.3618,#68e64f
04090700,13,0.3498,0.3491,#66e64e
04090800,13,0.3412,0.3632,#66e64f
04090900,13,0.3382,0.3505,#65e64e
04091000,13,0.3372,0.3542,#66e64e
04091100,13,0.3359,0.3713,#66e64f
04091200,13,0.3325,0.3469,#65e74e
04091300,13,0.3258,0.3435,#64e74e
04091400,13,0.3329,0.3507,#65e64e
04091500,13,0.3319,0.3658,#65e64f
04091600,13,0.3325,0.3855,#66e54f
