time,location,map,cir,color
04060000,2,-0.6440,0.2459,#41ea68
04060100,2,-0.6487,0.2300,#40ea68
04060200,2,-0.6484,0.2420,#41ea69
04060300,2,-0.6438,0.2392,#41ea68
04060400,2,-0.6450,0.2348,#40ea68
04060500,2,-0.6469,0.2489,#41e969
04060600,2,-0.6454,0.2431,#41ea69
04060700,2,-0.6429,0.2368,#40ea68
04060800,2,-0.6451,0.2567,#41e969
04060900,2,-0.6395,0.2580,#41e968
04061000,2,-0.6457,0.2372,#40ea68
04061100,2,-0.6473,0.2418,#41ea69
04061200,2,-0.6479,0.2405,#41ea69
04061300,2,-0.6437,0.2311,#40ea68
04061400,2,-0.6436,0.2449,#41ea68
04061500,2,-0.6457,0.2427,#41ea69
04061600,2,-0.6484,0.2351,#40ea69
04061700,2,-0.6491,0.2337,#40ea69
04061800,2,-0.6434,0.2377,#40ea68
04061900,2,-0.6429,0.2404,#41ea68
04062000,2,-0.6474,0.2385,#40ea69
04062100,2,-0.6472,0.2378,#40ea68
04062200,2,-0.6451,0.2257,#40ea68
04062300,2,-0.6447,0.2410,#41ea68
04070000,2,-0.6480,0.2391,#40ea69
04070100,2,-0.6404,0.2573,#41e969
04070200,2,-0.6443,0.2620,#41e969
04070300,2,-0.6442,0.2543,#41e969
04070400,2,-0.6460,0.2353,#40ea68
04070500,2,-0.6465,0.2277,#40ea68
04070600,2,-0.6442,0.2469,#41ea69
04070700,2,-0.6429,0.2364,#40ea68
04070800,2,-0.6464,0.2409,#41ea69
04070900,2,-0.6461,0.2319,#40ea68
04071000,2,-0.6435,0.2370,#40ea68
04071100,2,-0.6484,0.2362,#40ea69
04071200,2,-0.6465,0.2474,#41ea69
04071300,2,-0.6460,0.2404,#41ea68
04071400,2,-0.6451,0.2554,#41e969
04071500,2,-0.6444,0.2397,#41ea68
04071600,2,-0.6405,0.2454,#41ea68
04071700,2,-0.6428,0.2287,#40ea68
04071800,2,-0.6404,0.2390,#41ea68
04071900,2,-0.6400,0.2313,#40ea68
04072000,2,-0.6447,0.2325,#40ea68
04072100,2,-0.6443,0.2474,#41ea69
04072200,2,-0.6487,0.2398,#41ea69
04072300,2,-0.6495,0.2361,#40ea69
04080000,2,-0.6486,0.2452,#41ea69
04080100,2,-0.6443,0.2469,#41ea69
04080200,2,-0.6475,0.2347,#40ea68
04080300,2,-0.6460,0.2398,#41ea68
04080400,2,-0.6453,0.2448,#41ea69
04080500,2,-0.6442,0.2552,#41e969
04080600,2,-0.6401,0.2377,#41ea68
04080700,2,-0.5874,0.2693,#42e966
04080800,2,0.4114,0.2556,#68ea4b
04080900,2,0.5903,0.3881,#77e552
04081000,2,3.2854,0.4174,#e8c06b
04081100,2,3.4137,0.2286,#eebb66
04081200,2,3.4266,0.2275,#eebb66
04081300,2,3.4196,0.2616,#edbb67
04081400,2,3.3251,0.3427,#eabf69
04081500,2,1.3465,0.3432,#a7e857
04081600,2,1.2493,0.2317,#a1ec52
04081700,2,1.2387,0.2282,#a0ec51
04081800,2,1.2358,0.2452,#a0ec52
04081900,2,1.2329,0.2525,#a0eb52
04082000,2,1.2367,0.2293,#a0ec51
04082100,2,1.2404,0.2324,#a1ec52
04082200,2,1.2447,0.2516,#a1eb52
04082300,2,1.2389,0.2353,#a0ec52
04090000,2,1.2428,0.2301,#a1ec52
04090100,2,1.2352,0.2337,#a0ec52
04090200,2,1.2343,0.2465,#a0eb52
04090300,2,1.2310,0.2363,#a0ec52
04090400,2,1.1948,0.2540,#9eeb52
04090500,2,0.3427,0.2634,#63ea4b
04090600,2,0.3009,0.2380,#60eb49
04090700,2,0.2915,0.2580,#60ea4a
04090800,2,0.2978,0.2270,#5feb49
04090900,2,0.2989,0.2429,#60eb49
04091000,2,0.2954,0.2492,#60ea4a
04091100,2,0.2950,0.2477,#60ea4a
04091200,2,0.2993,0.2420,#60eb49
04091300,2,0.2973,0.2373,#5feb49
04091400,2,0.2994,0.2438,#60eb49
04091500,2,0.2935,0.2358,#5feb49
04091600,2,0.2923,0.2442,#5feb49
